"LEEFTIJDCAT4P","GESLACHT","roker","zware_drinker","obesitas","bewegen_3cat","moeite_rondkomen_2cat","UITSPRAAKBUURT3_CAT","LFT0109","langdurig_ziek_numeriek","ethniciteit_numeriek","gehuwd_numeriek","gescheiden_numeriek","verweduwd_numeriek","nooit_gehuwd_numeriek","beperkt_degelijks_leven_numeriek","ernstig_beperkt_dagelijks_leven_numeriek","niet_beperkt_dagelijks_leven_numeriek","opleiding_hoog_numeriek","opleiding_laag_numeriek","opleiding_middel_numeriek","inkomen_kwint1_numeriek","inkomen_kwint2_numeriek","inkomen_kwint3_numeriek","inkomen_kwint4_numeriek","inkomen_kwint5_numeriek","niet_stedelijk_buurt_numeriek","stedelijk_buurt_numeriek","Freq","perc","MHI5_voorspeld","MHI5_voorspeld_absoluut"
"18-34","Man","Rookt niet","Ja","Nee","10+ uur","Ja (enige of grote moeite)","Neutraal",21,1,0,0,0,0,1,0.75,0.25,0,0,0.25,0.75,0,0,0,0.75,0.25,1,0,4,4.90785502196265e-05,-0.869362731532189,63.8517351782881
"18-34","Man","Rookt niet","Ja","Nee","10+ uur","Ja (enige of grote moeite)","Ja",24.3333333333333,0.933333333333333,0.133333333333333,0.0666666666666667,0,0,0.933333333333333,0.8,0.2,0,0.533333333333333,0.2,0.266666666666667,0.2,0.0666666666666667,0.0666666666666667,0.2,0.466666666666667,0.733333333333333,0.266666666666667,15,0.000184044563323599,-0.716561668971554,66.2962462751928
"18-34","Man","Rookt niet","Ja","Nee","10+ uur","Ja (enige of grote moeite)","Nee",24.75,0.75,0,0,0,0,1,0.75,0.25,0,0.75,0,0.25,0,0,0.25,0.5,0.25,0.5,0.5,4,4.90785502196265e-05,-0.951388349165484,62.5394895094762
"18-34","Man","Rookt niet","Ja","Nee","4.5 - 10 uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Neutraal",25,0.888888888888889,0,0,0,0,1,1,0,0,0.333333333333333,0.111111111111111,0.555555555555556,0,0.111111111111111,0.333333333333333,0.222222222222222,0.333333333333333,0.555555555555556,0.444444444444444,9,0.00011042673799416,-0.127940616121427,75.7130047155529
"18-34","Man","Rookt niet","Ja","Nee","4.5 - 10 uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Ja",25.6598639455782,0.91156462585034,0.0340136054421769,0.102040816326531,0,0,0.897959183673469,0.918367346938776,0.0816326530612245,0,0.578231292517007,0.0816326530612245,0.340136054421769,0.0204081632653061,0.0408163265306122,0.0816326530612245,0.306122448979592,0.551020408163265,0.775510204081633,0.224489795918367,147,0.00180363672057127,0.0278101610542152,78.2047053410397
"18-34","Man","Rookt niet","Ja","Nee","4.5 - 10 uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Nee",24.7272727272727,0.909090909090909,0,0.0909090909090909,0,0,0.909090909090909,1,0,0,0.363636363636364,0,0.636363636363636,0,0,0.272727272727273,0.363636363636364,0.363636363636364,0.545454545454545,0.454545454545455,11,0.000134966013103973,-0.185073406266258,74.7989944517123
"18-34","Man","Rookt niet","Ja","Nee","4.5 - 10 uur","Ja (enige of grote moeite)","Neutraal",24.3333333333333,1,0,0,0,0,1,1,0,0,0.666666666666667,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,3,3.68089126647199e-05,-0.756252481915279,65.6612727281495
"18-34","Man","Rookt niet","Ja","Nee","4.5 - 10 uur","Ja (enige of grote moeite)","Ja",24.3125,0.875,0,0.0625,0,0,0.9375,0.8125,0.125,0.0625,0.5,0,0.5,0.0625,0.1875,0.0625,0.1875,0.5,0.6875,0.3125,16,0.000196314200878506,-0.720107359170665,66.2395223303938
"18-34","Man","Rookt niet","Ja","Nee","4.5 - 10 uur","Ja (enige of grote moeite)","Nee",21,1,0,0,0,0,1,1,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0.666666666666667,3,3.68089126647199e-05,-0.932476619102036,62.842039329661
"18-34","Man","Rookt niet","Ja","Ja","0 - 4.5 uur","Nee (geen enkele moeite of geen moeite, maar wel opletten op uitgaven)","Neutraal",25.6666666666667,1,0.333333333333333,0,0,0,1,0.666666666666667,0.333333333333333,0,0,0.333333333333333,0.666666666666667,0,0,0.333333333333333,0,0.666666666666667,0.666666666666667,0.333333333333333,3,3.68089126647199e-05,-0.500965769997245,69.7453490409586
